รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030039,ธรรมจาริกอุปถัมภ์ 1,2,6,8,1,7,3,10,1,7,6,13,1,16,15,31,3,12,13,25,1,16,13,29,1,2,11,13,1,7,7,14,1,6,9,15,1,9,6,15,1,52,59,111,6,13,5,18,1,11,7,18,1,4,3,7,1,28,15,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,89,185,12
57030000,สพป.เชียงราย เขต 3,57030040,บ้านแม่จัน(เชียงแสนประชานุสาสน์),8,12,20,1,18,18,36,2,28,30,58,3,54,60,114,6,83,75,158,5,78,87,165,5,88,93,181,5,84,87,171,5,96,85,181,5,86,81,167,5,515,508,1023,30,60,62,122,4,75,56,131,4,53,54,107,4,188,172,360,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,740,1497,48
57030000,สพป.เชียงราย เขต 3,57030041,บ้านหนองแว่น,0,0,0,0,5,6,11,1,3,3,6,1,8,9,17,2,13,10,23,1,6,4,10,1,11,10,21,1,7,9,16,1,5,2,7,1,11,4,15,1,53,39,92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,48,109,8
57030000,สพป.เชียงราย เขต 3,57030042,บ้านสันกอง,0,0,0,0,8,16,24,1,13,13,26,2,21,29,50,3,33,26,59,2,21,27,48,2,13,19,32,2,19,20,39,2,18,19,37,2,17,14,31,2,121,125,246,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,154,296,15
57030000,สพป.เชียงราย เขต 3,57030044,บ้านป่ากว๋าว-ดอนชัย,0,0,0,0,10,12,22,1,10,13,23,1,20,25,45,2,19,12,31,1,18,10,28,1,14,17,31,1,8,6,14,1,15,7,22,1,6,11,17,1,80,63,143,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,188,8
57030000,สพป.เชียงราย เขต 3,57030046,สันสลีหลวง-สันนายาว,0,0,0,0,2,1,3,1,5,2,7,1,7,3,10,2,8,10,18,1,5,3,8,1,3,3,6,1,1,4,5,1,3,4,7,1,4,5,9,1,24,29,53,6,12,8,20,1,1,4,5,1,6,3,9,1,19,15,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,47,97,11
57030000,สพป.เชียงราย เขต 3,57030047,อนุบาลศรีค้ำ,0,0,0,0,0,0,0,0,1,3,4,1,1,3,4,1,17,6,23,1,8,9,17,1,7,6,13,1,6,9,15,1,5,5,10,1,8,4,12,1,51,39,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,42,94,7
57030000,สพป.เชียงราย เขต 3,57030048,สันทราย(พรหมณีวิทยา),0,0,0,0,3,3,6,1,2,3,5,1,5,6,11,2,20,7,27,1,12,13,25,1,9,15,24,1,5,11,16,1,11,11,22,1,5,9,14,1,62,66,128,6,6,13,19,1,9,15,24,1,10,10,20,1,25,38,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,110,202,11
57030000,สพป.เชียงราย เขต 3,57030050,บ้านแหลว-นาล้อม,0,0,0,0,8,5,13,1,9,6,15,1,17,11,28,2,11,10,21,1,18,15,33,1,13,5,18,1,5,7,12,1,7,5,12,1,5,6,11,1,59,48,107,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,59,135,8
57030000,สพป.เชียงราย เขต 3,57030051,ป่าตึงพิทยานุกูล,0,0,0,0,12,4,16,1,6,11,17,1,18,15,33,2,14,10,24,1,13,11,24,1,12,11,23,1,6,10,16,1,9,1,10,1,12,13,25,1,66,56,122,6,4,12,16,1,8,10,18,1,8,8,16,1,20,30,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,101,205,11
